ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-12,19-PT,Thu hoµn tiÒn göi mÉu xÐt nghiÖm th¸ng 12/2018 (theo PCTU 20/PC ngµy 10/12/2018),1111,,0,20000000
2019-01-12,30-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 01/2019 - Ng« ThÝ Huúnh,1111,,20000000,0
2019-01-16,41-PC,Chi t¹m øng tiÒn mua ®å trang trÝ tÕt 2019 cho Trang BÝch LiÔu,1111,,4000000,0
2019-01-30,75-PC,Chi tiÒn t¹m øng l­¬ng T.01/2019 cho Lª Ngäc H©n - TT. Néi soi,1111,,3000000,0
2019-02-02,09-PC,"Chi t¹m øng tiÒn mua b¸nh, møt,... tiÕp kh¸ch cho Trang BÝch LiÔu",1111,,1000000,0
2019-02-11,12-PT,"Thu hoµn t¹m øng tiÒn mua b¸nh, møt,...tiÕp kh¸ch khu Hµnh chÝnh (theo PCTU 09/PC ngµy 02/02/2019)",1111,,0,1000000
2019-03-04,06-PT,Thu hoµn tiÒn t¹m øng l­¬ng th¸ng 01/2019 (PCTU 75/PC ngµy 30/01/2019) cña Lª Ngäc H©n (TT Néi soi),1111,,0,3000000
2019-03-06,09-PT,Thu hoµn t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 01/2019 (theo PCTU 30/PC ngµy 12/01/2019),1111,,0,20000000
2019-03-06,14-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 02/2019,1111,,20000000,0
2019-03-19,24-PT,Thu hoµn tiÒn göi mÉu xÐt nghiÖm th¸ng 02/2019 (PCTU 14/PC ngµy 06/03/2019),1111,,0,20000000
2019-03-19,44-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 03/2019,1111,,20000000,0
2019-03-20,47-PC,Chi t¹m øng tiÒn l­¬ng cho BS. Lª V¨n Hoµng (Khoa CÊp cøu),1111,,5000000,0
2019-03-30,65-PC,Chi t¹m øng tiÒn l­¬ng th¸ng 03/2019 cho NguyÔn §¨ng Phong,1111,,10000000,0
2019-04-06,59L-KTK,Thu hoµn tiÒn l­¬ng T.03/2019 cña BS.NguyÔn §¨ng Phong (t¹m øng ngµy 30/03/2019),3341,,0,10000000
2019-04-09,11-PT,Thu hoµn tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 03/2019 (PCTU 44-PC ngµy 19/03/2019),1111,,0,20000000
2019-04-09,22-PC,Chi t¹m øng göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 04/2019 cho NguyÔn H÷u TÝn,1111,,20000000,0
2019-04-23,54-PC,Chi t¹m øng tiÒn l­¬ng th¸ng 04/2019 cho NguyÔn §¨ng Phong (Khoa Ngo¹i TQ),1111,,15000000,0
2019-04-24,59-PC,"Chi t¹m øng tiÒn mua quµ tÆng Sinh nhËt (BS. H¶i, BS. NghÜa, BS. TuÊn)",1111,,3880000,0
2019-05-07,44L-KTK,Thu hoµn t¹m øng l­¬ng T.04/2019 cña BS. NguyÔn §¨ng Phong,3341,,0,15000000
2019-05-08,10-PT,Thu hoµn tiÒn l­¬ng BS. Lª V¨n Hoµng (theo PCTU 47-PC/20/03/2019),1111,,0,5000000
2019-05-10,13-PT,Thu hoµn tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 04/2019 (theo PCTU 22-PC/09/04/2019),1111,,0,20000000
2019-05-10,26-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 05/2019 cho TrÇn NguyÔn Lan Trinh,1111,,20000000,0
2019-05-20,39-PC,Chi t¹m øng tiÒn göi mÉu XN n­íc RO cho TrÇn TÊn Ph¸t,1111,,10000000,0
2019-05-24,54-PC,Chi t¹m øng tiÒn l­¬ng cho NguyÔn H÷u Nh¬n (Khoa CÊp cøu),1111,,10000000,0
2019-05-28,65-PC,Chi t¹m øng tiÒn l­¬ng th¸ng 05/2019 cho NguyÔn §¨ng Phong,1111,,2000000,0
2019-06-06,30L-KTK,Thu hoµn t¹m øng tiÒn l­¬ng T.05/2019 cña BS. NguyÔn §¨ng Phong,3341,,0,2000000
2019-06-08,15-PT,Thu hoµn tiÒn t¹m øng (theo PCTU 59-PC ngµy 24/04/2019),1111,,0,3880000
2019-06-11,20-PT,Thu hoµn tiÒn t¹m øng göi mÉu xÐt nghiÖm th¸ng 5/2019 (theo PCTU 26-PC ngµy 10/05/2019),1111,,0,20000000
2019-06-11,29-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 06/2019 cho TrÇn NguyÔn Lan Trinh,1111,,20000000,0
2019-06-25,62-PC,Chi t¹m øng cho NguyÔn Thñy Ch©u ¸i,1111,,2000000,0
2019-07-03,06-PC,"Chi t¹m øng tiÒn häc phÝ khãa "" thùc hµnh cÊp cøu - håi søc Nhi khoa c¬ b¶n dµnh cho ®iÒu d­ìng""",1111,,21000000,0
2019-07-11,22-PT,Thu hoµn tiÒn t¹m øng göi mÉu xÐt nghiÖm th¸ng 06/2019 (theo PCTU 29-PC ngµy 11/06/2019),1111,,0,20000000
2019-07-11,27-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 07/2019 cho TrÇn TuÊn Minh,1111,,20000000,0
2019-07-16,37-PC,Chi t¹m øng cho BS. Bïi ChÝ ViÕt,1111,,10000000,0
2019-07-25,48-PT,Thu hoµn t¹m øng tiÒn l­¬ng (theo PCTU 54-PC ngµy 24/05/2019),1111,,0,10000000
2019-07-29,56-PC,"Chi t¹m øng tiÒn c«ng chøng ""chøng chØ hµnh nghÒ"" cho Lª Vâ Minh Huy",1111,,5100000,0
2019-07-31,65-PC,Chi t¹m øng tiÒn c«ng chøng v¨n b»ng phôc vô kiÓm tra bÖnh viÖn,1111,,1150000,0
2019-08-01,02-PT,"Thu hoµn t¹m øng tiÒn c«ng chøng chøng chØ hµnh nghÒ (theo PC 56, 65-PC ngµy 29-31/07/2019)",1111,,0,6250000
2019-08-15,26-PT,Thu hoµn t¹m øng tiÒn göi mÉu xÐt nghiÖm n­íc RO (theo PCTU 39-PC ngµy 20/05/2019),1111,,0,10000000
2019-08-16,29-PT,Thu hoµn t¹m øng tiÒn göi mÉu xÐt nghiÖm th¸ng 07/2019 (theo PCTU 27-PC ngµy 11/07/2019),1111,,0,20000000
2019-08-16,46-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 08/2019 cho NguyÔn BÝch Ngäc,1111,,20000000,0
2019-08-29,71-PC,"Chi t¹m øng tiÒn mua thiÕt bÞ ®o tèc ®é giã, nhiÖt ®é, dông cô ®o nhiÖt ®é - NguyÔn §×nh KiÕn HËu",1111,,7260000,0
2019-09-06,11-PC,"Chi t¹m øng tiÒn häc phÝ khãa ""Xö trÝ s¬ sinh c¬ b¶n dµnh cho B¸c sÜ""",1111,,8000000,0
2019-09-07,14-PT,Thu hoµn t¹m øng tiÒn göi mÉu xÐt nghiÖm th¸ng 08/2019 (theo PCTU 46-PC ngµy 16/08/2019),1111,,0,20000000
2019-09-07,17-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng 09/2019 - Ng« ThÝ Huúnh,1111,,20000000,0
2019-09-10,19-PT,"Thu hoµn tiÒn t¹m øng mua thiÕt bÞ ®o tèc ®é giã, nhiÖt ®é (theo PCTU 71-PC ngµy 29/08/2019)",1111,,0,7260000
2019-09-12,29-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm n­íc RO quý 03/2019 - TrÇn TÊn Ph¸t,1111,,10000000,0
2019-09-20,47-PC,Chi t¹m øng tiÒn l­¬ng cho NguyÔn Mü Ng«n,1111,,11484102,0
2019-10-02,03-PC,Chi t¹m øng tiÒn cho Trang BÝch LiÔu,1111,,2000000,0
2019-10-09,21-PC,Chi t¹m øng tiÒn mua bµn bãng bµn cho CB-CNV,1111,,4100000,0
2019-10-10,17-PT,Thu hoµn tiÒn t¹m øng göi mÉu xÐt nghiÖm T09/2019 (PCTU 17-PC ngµy 07/09/2019) - Ng« ThÝ Huúnh,1111,,0,20000000
2019-10-10,25-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c T10/2019 - Lª Ng©n Giang,1111,,20000000,0
2019-10-15,25-PT,Thu hoµn tiÒn t¹m øng häc phÝ líp thùc hµnh CC håi søc nhi khoa c¬ b¶n - §D (theo PCTU 06-PC ngµy 03/07/2019) - T« ThÞ CÈm Hång,1111,,0,21000000
2019-10-15,26-PT,Thu hoµn tiÒn t¹m øng häc phÝ HP líp xö trÝ s¬ sinh cë b¶n - B¸c SÜ (theo PCTU 11-PC ngµy 06/09/2019) - TrÇn §¨ng Khoa,1111,,0,8000000
2019-10-21,39-PT,Thu hoµn t¹m øng tiÒn mua bµn bãng bµn (theo PCTU 21-PC ngµy 09/10/2019) - NguyÔn Thµnh Nguyªn,1111,,0,4100000
2019-10-25,62-PC,Chi t¹m øng tiÒn tiÕp kh¸ch cho NguyÔn ThÞ Thóy An,1111,,15000000,0
2019-10-28,51-PT,Thu hoµn t¹m øng tiÒn tiÕp kh¸ch (theo PCTU 62-PC ngµy 25/10/2019) - NguyÔn ThÞ Thóy An,1111,,0,15000000
2019-11-07,13-PT,Thu hoµn t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c th¸ng T10/2019 (theo PCTU 25-PC ngµy 10/10/2019) - Lª Ng©n Giang,1111,,0,20000000
2019-11-07,14-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c T11/2019 - TrÇn TÊn Kha,1111,,20000000,0
2019-11-14,23-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 1 cho NV. NguyÔn Mü Ng«n - P. KÕ to¸n,3344,,0,2500000
2019-11-15,33-PT,Thu hoµn tiÒn göi mÉu xÐt nghiÖm n­íc RO quý 3/2019 (theo PCTU 29-PC ngµy 12/09/2019),1111,,0,10000000
2019-11-20,48-PC,"Chi t¹m øng tiÒn mua tr¸i c©y, n­íc ngät...cho Trang BÝch LiÔu",1111,,3000000,0
2019-11-25,51-PT,"Thu hoµn tiÒn t¹m øng tiÒn mua b¸nh, tr¸i c©y...tiÕp kh¸ch (theo PCTU 48-PC ngµy 20/11/2019)",1111,,0,3000000
2019-11-26,61-PC,Chi t¹m øng tiÒn l­¬ng cho NguyÔn ThÞ Thïy D­¬ng (®ãng HP Cao §¼ng) - Khoa CÊp cøu,1111,,10000000,0
2019-11-26,62-PC,Chi t¹m øng tiÒn l­¬ng cho NguyÔn V¨n Dòng (®ãng tiÒn HP Cao §¼ng) - Khoa CÊp cøu,1111,,10000000,0
2019-11-26,63-PC,Chi t¹m øng tiÒn l­¬ng cho NguyÔn H÷u Nh¬n (®ãng tiÒn HP Cao §¼ng) - Khoa CÊp cøu,1111,,10000000,0
2019-11-26,64-PC,Chi t¹m øng tiÒn l­¬ng cho Ph¹m Thanh H¹t (®ãng tiÒn HP Cao ®¼ng) - Khoa CÊp Cøu,1111,,10000000,0
2019-11-29,71-PC,Chi t¹m øng tiÒn l­¬ng cho Vâ ThÞ Hoµng Dung (®ãng tiÒn HP Cao ®¼ng) - Khoa Ngo¹i Tæng qu¸t,1111,,10000000,0
2019-12-06,12-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 1 cña NV: NguyÔn ThÞ Thïy D­¬ng (K. CÊp cøu),3341,,0,5000000
2019-12-06,13-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 1 cña NV: NguyÔn V¨n Dòng (K. CÊp cøu),3341,,0,5000000
2019-12-06,14-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 1 cña NV: NguyÔn H÷u Nh¬n  (K. CÊp cøu),3341,,0,4500000
2019-12-06,15-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 1 cña NV: Ph¹m Thanh H¹t (K. CÊp cøu),3341,,0,4500000
2019-12-06,16-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 1 cña NV: Vâ ThÞ Hoµng Dung (K. Ngo¹i TQ),3341,,0,4300000
2019-12-09,12-PT,Thu hoµn tiÒn t¹m øng göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c T11/2019 (theo PCTU 14-PC ngµy 07/11/2019) - TrÇn TÊn Kha,1111,,0,20000000
2019-12-09,15-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm ®¬n vÞ kh¸c T12/2019 - NguyÔn H÷u TÝn,1111,,20000000,0
2019-12-11,17-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 2 cña NV: NguyÔn ThÞ Thïy D­¬ng  (K. CÊp cøu),3341,,0,4400000
2019-12-11,18-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 2 cña NV: NguyÔn V¨n Dòng (K. CÊp cøu),3341,,0,4800000
2019-12-11,19-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 2 cña NV: NguyÔn H÷u Nh¬n (K. CÊp cøu),3341,,0,4900000
2019-12-11,20-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 2 cña NV: Ph¹m Thanh H¹t (K. CÊp cøu),3341,,0,4900000
2019-12-11,21-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 2 cña NV: Vâ ThÞ Hoµng Dung (K. Ngo¹i TQ),3341,,0,4900000
2019-12-11,22-KTK,Thu hoµn t¹m øng tiÒn l­¬ng lÇn 2 cho NV- NguyÔn Mü Ng«n (P. KÕ to¸n),3344,,0,2500000
2019-12-25,48-PC,Chi t¹m øng tiÒn göi mÉu xÐt nghiÖm n­íc RO quý 4/2019 - TrÇn TÊn Ph¸t,1111,,10000000,0
